影片名称,评分,类型,主演,上映日期,图片URL
影片名称,评分,类型,主演,上映日期,图片URL
孤注一掷,7.9,剧情,简·方达／迈克尔·萨拉兹／苏珊娜·约克,1969-12-10,https://p0.pipi.cn/basicdata/54ecded78070e139dd8d33ebf7c3af1f46077.jpg?imageView2/1/w/218/h/300
海底两万里,7.1,剧情／科幻／家庭／冒险,柯克·道格拉斯／詹姆斯·梅森／保罗·卢卡斯,1954-12-23,https://p0.pipi.cn/mmdb/d2dad592b1251b7e12f0ee08011bd802ee443.jpg?imageView2/1/w/218/h/300
没头脑和不高兴,8.6,喜剧／儿童／动画,邱岳峰／姚培华,1962-02-01,https://p0.pipi.cn/mmdb/d2dad592b1251b0faf230f15e12ed1acd226a.jpg?imageView2/1/w/218/h/300
如此运动生涯,7.8,剧情／运动,理查德·哈里斯／亚瑟·罗维 ／雷纳德·洛塞特,1963-02-07,https://p0.pipi.cn/mmdb/25bfd68d8ea0fa2c95cf3ef8c225ba3437be5.jpg?imageView2/1/w/218/h/300
外婆与孙子,暂无评分,战争,Ketevan Bochorishvili／Mishiko Meskhi／Gio Mgeladze,1969-05-10,https://p0.pipi.cn/basicdata/54ecded78078d302ffbe122e68dad0e345c63.jpg?imageView2/1/w/218/h/300
西游记,7.6,剧情／动作／奇幻／古装,何藩／岳华／郑佩佩,1966-01-18,https://p0.pipi.cn/mmdb/d2dad592c7e7e17df5339e1d32af32d9de5f3.jpg?imageView2/1/w/218/h/300
哥斯拉,7.3,剧情／科幻／恐怖,宝田明／河内桃子／志村乔,1954-11-03,https://p0.pipi.cn/mmdb/d2dad592b1251b50c8c696f56576e063ba5fd.jpg?imageView2/1/w/218/h/300
金刚大战哥斯拉,5.9,动作／科幻,高岛忠夫／佐原健二／藤木悠,1963-06-03,https://p0.pipi.cn/mmdb/d2dad592b1251bc7ed0e13d6da38913fef567.jpg?imageView2/1/w/218/h/300
宝葫芦的秘密,7.4,剧情／儿童／奇幻,王葆／周小海／茂路,1963-01-01,https://p0.pipi.cn/mmdb/d2dad592b1251b7e12b12d9e15bd7cddef3b6.jpg?imageView2/1/w/218/h/300
泰坦尼克号,6.9,剧情／动作／历史,Charlotte Thiele／西比·施米茨／汉斯·尼尔森,1943-09-24,https://p0.pipi.cn/mmdb/d2dad592e7a8d32ff7537c8dcf03307b259ba.jpg?imageView2/1/w/218/h/300
红楼梦,6.9,爱情,顾媚／高宝树／关山,1962-02-01,https://p0.pipi.cn/mmdb/d2dad592b1251b2c95c696b405c6d30ce7276.jpg?imageView2/1/w/218/h/300
